"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"80","1.436885","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"82","1.464726","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"84","1.488759","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"86","1.504575","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"88","1.520846","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"101","2.834847","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"103","2.840760","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"105","2.856586","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"107","2.864736","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"109","2.872897","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"111","2.882837","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"113","2.890588","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"115","2.898671","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"117","2.906661","1.7.3","host","USB","79","200102000000100000000000000000","URB_INTERRUPT in"
"119","2.914673","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"121","2.922874","1.7.3","host","USB","79","200102000001300000000000000000","URB_INTERRUPT in"
"123","2.930592","1.7.3","host","USB","79","200102000000200000000000000000","URB_INTERRUPT in"
"125","2.938593","1.7.3","host","USB","79","200102000001400000000000000000","URB_INTERRUPT in"
"127","2.946605","1.7.3","host","USB","79","200102000001400000000000000000","URB_INTERRUPT in"
"129","2.954589","1.7.3","host","USB","79","200102000001300000000000000000","URB_INTERRUPT in"
"132","2.962795","1.7.3","host","USB","79","200102000001400000000000000000","URB_INTERRUPT in"
"134","2.970572","1.7.3","host","USB","79","200102000000300000000000000000","URB_INTERRUPT in"
"136","2.978612","1.7.3","host","USB","79","200102000001400000000000000000","URB_INTERRUPT in"
"139","2.986589","1.7.3","host","USB","79","200102000001300000000000000000","URB_INTERRUPT in"
"141","2.994586","1.7.3","host","USB","79","200102000001300000000000000000","URB_INTERRUPT in"
"143","3.002594","1.7.3","host","USB","79","200102000002400000000000000000","URB_INTERRUPT in"
"145","3.010658","1.7.3","host","USB","79","200102000003600000000000000000","URB_INTERRUPT in"
"147","3.018660","1.7.3","host","USB","79","200102000003500000000000000000","URB_INTERRUPT in"
"149","3.026585","1.7.3","host","USB","79","200102000003600000000000000000","URB_INTERRUPT in"
"151","3.034584","1.7.3","host","USB","79","200102000004600000000000000000","URB_INTERRUPT in"
"153","3.042593","1.7.3","host","USB","79","200102000004700000000000000000","URB_INTERRUPT in"
"155","3.050584","1.7.3","host","USB","79","200102000004700000000000000000","URB_INTERRUPT in"
"157","3.058582","1.7.3","host","USB","79","200102000005600000000000000000","URB_INTERRUPT in"
"159","3.066578","1.7.3","host","USB","79","200102000004700000000000000000","URB_INTERRUPT in"
"161","3.074575","1.7.3","host","USB","79","200102000005700000000000000000","URB_INTERRUPT in"
"163","3.082585","1.7.3","host","USB","79","200102000005600000000000000000","URB_INTERRUPT in"
"165","3.090671","1.7.3","host","USB","79","200102000005700000000000000000","URB_INTERRUPT in"
"167","3.098741","1.7.3","host","USB","79","200102000005800000000000000000","URB_INTERRUPT in"
"169","3.106575","1.7.3","host","USB","79","200102000006800000000000000000","URB_INTERRUPT in"
"171","3.114744","1.7.3","host","USB","79","200102000007900000000000000000","URB_INTERRUPT in"
"173","3.124641","1.7.3","host","USB","79","200102000008900000000000000000","URB_INTERRUPT in"
"175","3.132577","1.7.3","host","USB","79","200102000009a00000000000000000","URB_INTERRUPT in"
"177","3.140585","1.7.3","host","USB","79","20010200000aa00000000000000000","URB_INTERRUPT in"
"179","3.146595","1.7.3","host","USB","79","20010200000a900000000000000000","URB_INTERRUPT in"
"181","3.154589","1.7.3","host","USB","79","20010200000b900000000000000000","URB_INTERRUPT in"
"183","3.164595","1.7.3","host","USB","79","200102000010a00000000000000000","URB_INTERRUPT in"
"185","3.172774","1.7.3","host","USB","79","20010200000a600000000000000000","URB_INTERRUPT in"
"187","3.180672","1.7.3","host","USB","79","200102000009600000000000000000","URB_INTERRUPT in"
"189","3.188774","1.7.3","host","USB","79","20010200000a600000000000000000","URB_INTERRUPT in"
"191","3.196674","1.7.3","host","USB","79","200102000009700000000000000000","URB_INTERRUPT in"
"193","3.204742","1.7.3","host","USB","79","20010200000b800000000000000000","URB_INTERRUPT in"
"195","3.212761","1.7.3","host","USB","79","20010200000b800000000000000000","URB_INTERRUPT in"
"197","3.220768","1.7.3","host","USB","79","20010200000ea00000000000000000","URB_INTERRUPT in"
"199","3.228597","1.7.3","host","USB","79","20010200000eb00000000000000000","URB_INTERRUPT in"
"201","3.236734","1.7.3","host","USB","79","20010200000ea00000000000000000","URB_INTERRUPT in"
"203","3.244730","1.7.3","host","USB","79","200102000015f00000000000000000","URB_INTERRUPT in"
